image_id,cluster_id,dist_to_center,centroid_rank,is_centroid
53613,0,7.374163627624512,1,1
45251,0,7.869200229644775,2,1
45244,0,7.992621421813965,3,1
43210,0,8.091290473937988,0,0
38048,0,8.253728866577148,0,0
36786,0,8.258103370666504,0,0
4694,0,8.272393226623535,0,0
53609,0,8.27275276184082,0,0
53605,0,8.32425594329834,0,0
25315,0,8.342702865600586,0,0
45264,0,8.400677680969238,0,0
53603,0,8.400938034057617,0,0
38049,0,8.538315773010254,0,0
25314,0,8.550810813903809,0,0
45250,0,8.564330101013184,0,0
53615,0,8.600341796875,0,0
45287,0,8.626518249511719,0,0
53616,0,8.650764465332031,0,0
37319,0,8.80046558380127,0,0
45286,0,8.809035301208496,0,0
17429,0,8.827554702758789,0,0
38053,0,8.868083000183105,0,0
45014,0,8.896034240722656,0,0
23257,0,8.904065132141113,0,0
37318,0,8.936995506286621,0,0
49323,0,8.987135887145996,0,0
38050,0,9.162978172302246,0,0
53602,0,9.173110961914062,0,0
32330,0,9.175145149230957,0,0
53595,0,9.197104454040527,0,0
37307,0,9.25187873840332,0,0
45252,0,9.32210636138916,0,0
32331,0,9.372269630432129,0,0
44992,0,9.386076927185059,0,0
4666,0,9.552103042602539,0,0
49857,0,9.622015953063965,0,0
4709,0,9.63524341583252,0,0
28585,0,9.797662734985352,0,0
45262,0,9.805185317993164,0,0
49865,0,9.818528175354004,0,0
45001,0,9.820425987243652,0,0
45260,0,10.011507987976074,0,0
45269,0,10.019519805908203,0,0
35282,0,10.03466510772705,0,0
45248,0,10.039027214050293,0,0
25313,0,10.064913749694824,0,0
4714,0,10.090177536010742,0,0
49866,0,10.15457820892334,0,0
4697,0,10.24525260925293,0,0
39029,0,10.288349151611328,0,0
53594,0,10.305865287780762,0,0
4705,0,10.32384967803955,0,0
44999,0,10.374306678771973,0,0
38052,0,10.376678466796875,0,0
45265,0,10.379448890686035,0,0
29936,0,10.397416114807129,0,0
53871,0,10.411460876464844,0,0
13839,0,10.430643081665039,0,0
49855,0,10.432055473327637,0,0
38054,0,10.442081451416016,0,0
45019,0,10.452718734741211,0,0
45245,0,10.469632148742676,0,0
49867,0,10.471160888671875,0,0
4707,0,10.481283187866211,0,0
45003,0,10.518933296203613,0,0
53598,0,10.576130867004395,0,0
45249,0,10.660290718078613,0,0
49858,0,10.668400764465332,0,0
45253,0,10.714656829833984,0,0
53612,0,10.71765422821045,0,0
38055,0,10.746216773986816,0,0
13838,0,10.748820304870605,0,0
53614,0,10.762431144714355,0,0
38051,0,10.763099670410156,0,0
45010,0,10.902323722839355,0,0
4708,0,10.92094898223877,0,0
4696,0,10.92532730102539,0,0
35288,0,10.947522163391113,0,0
53600,0,10.9844388961792,0,0
4701,0,11.017354011535645,0,0
32333,0,11.026969909667969,0,0
43207,0,11.032218933105469,0,0
49856,0,11.054926872253418,0,0
53604,0,11.069991111755371,0,0
4690,0,11.086816787719727,0,0
45015,0,11.109596252441406,0,0
4700,0,11.124749183654785,0,0
44997,0,11.140707015991211,0,0
43201,0,11.153112411499023,0,0
46568,0,11.156198501586914,0,0
45266,0,11.157685279846191,0,0
45161,0,11.192818641662598,0,0
45029,0,11.212566375732422,0,0
45272,0,11.230680465698242,0,0
45002,0,11.239215850830078,0,0
45006,0,11.263726234436035,0,0
45271,0,11.283536911010742,0,0
53601,0,11.401466369628906,0,0
45285,0,11.406092643737793,0,0
46573,0,11.420281410217285,0,0
4706,0,11.44607162475586,0,0
19291,0,11.46137809753418,0,0
29935,0,11.492697715759277,0,0
45016,0,11.497807502746582,0,0
16784,0,11.500475883483887,0,0
54626,0,11.522125244140625,0,0
10396,0,11.530743598937988,0,0
30069,0,11.558371543884277,0,0
16787,0,11.565877914428711,0,0
49851,0,11.579123497009277,0,0
45235,0,11.678953170776367,0,0
10399,0,11.682920455932617,0,0
4691,0,11.820676803588867,0,0
22931,0,11.8450345993042,0,0
53597,0,11.922051429748535,0,0
45000,0,11.922171592712402,0,0
22921,0,11.936400413513184,0,0
17428,0,11.95357608795166,0,0
4698,0,11.961834907531738,0,0
45273,0,11.963912963867188,0,0
4710,0,11.995992660522461,0,0
53619,0,12.013429641723633,0,0
49864,0,12.037086486816406,0,0
22932,0,12.110072135925293,0,0
53593,0,12.126749992370605,0,0
53618,0,12.137879371643066,0,0
54643,0,12.166203498840332,0,0
4665,0,12.188956260681152,0,0
43208,0,12.271038055419922,0,0
43209,0,12.279754638671875,0,0
11639,0,12.304335594177246,0,0
45009,0,12.33800220489502,0,0
4693,0,12.340874671936035,0,0
4715,0,12.417631149291992,0,0
45013,0,12.499128341674805,0,0
11487,0,12.53102970123291,0,0
16777,0,12.54403305053711,0,0
53611,0,12.595718383789062,0,0
